"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time"
"ISR",1989,4518200,985449852.792044,952100222.64523,218.106735600913,210.725559436331,-0.0248663912950837,-0.0200274552082567,0.029873416077348,0.0259109193799247,-0.0547398073724317,-0.0459383745881814,0.0471795218369303,0.179337772044484,-0.757907217106739,0.326908924429692,-0.0919752124310218,0.260535387795078,-8
"ISR",1990,4660200,1045602895.0528,1018497049.45358,224.368674102571,218.55221867164,0.0283060096143233,0.036468352341239,0.0156173379728966,0.014462022118396,0.0126886716414267,0.022006330222843,0.0534334948704022,0.0756488405034605,-0.959502913729931,0.219072660656094,0.0520457227688187,0.157518832185778,-7
"ISR",1991,4949100,1136041508.98482,1117403148.6466,229.545070615833,225.77906056588,0.0228088309146273,0.0325319399478792,0.0003541422942126,-0.000701929248921651,0.0224546886204147,0.0332338691968008,0.0514393825754276,-0.0456387287205324,-0.806210706639901,0.0944053978009052,0.0558604942128729,0.0263692151482717,-6
"ISR",1992,5123500,1224111343.20234,1200782886.19648,238.920921870273,234.367695168632,0.0400332300009998,0.0373343159722328,0.00923198100799816,0.00846168213681064,0.0308012489930016,0.0288726338354222,0.0716406725303037,-0.103279830512595,-0.358139776918874,0.0197126365253604,0.204517497539349,-0.0360316960603595,-5
"ISR",1993,5261400,1276876927.27283,1252095977.85813,242.687673864908,237.977720351643,0.0156426975603905,0.0152858283632522,-0.00145181244744208,-0.0019248527288056,0.0170945100078326,0.0172106810920578,0.065941421727711,-0.104211150050804,-0.411554236563673,0.00238207949410074,0.285289040342513,-0.0656565250799843,-4
"ISR",1994,5399300,1375196464.05854,1346502802.1328,254.699028403412,249.384698411425,0.0483072434011982,0.0468196204390647,0.0208846981019448,0.0208625071264645,0.0274225452992534,0.0259571133126002,0.0541886963005518,-0.0349323305820237,-0.502744713174045,0.0846480084513632,0.340104706030432,0.00510233725367248,-3
"ISR",1995,5544900,1454469391.47373,1430557939.79095,262.307596435234,257.995264078875,0.0294352800121951,0.0339445507089309,0.0185402070840777,0.0171462987601352,0.0108950729281174,0.0167982519487957,0.0521888658692297,-0.0510373241092474,-0.478394855248221,0.117008716806994,0.00286243502107864,0.0307460336695122,-2
"ISR",1996,5685100,1509320474.54686,1485932893.02768,265.487058195434,261.373220000998,0.0120482471475167,0.0130081191210296,0.0162009184302532,0.0191439177495552,-0.00415267128273644,-0.00613579862852554,0.0497162747318787,-0.0903172790958693,-0.568053575677022,0.0809185355046509,0.0361942284951429,-0.0125899046976741,-1
"ISR",1997,5828900,1553566271.57338,1525372404.86039,266.528207993511,261.691297647993,0.00391398966679013,0.00121620823233037,0.0196573004483573,0.0229557821538515,-0.0157433107815672,-0.0217395739215211,0.0625592890198057,-0.256164004096352,-0.609159457577832,-0.176234302260961,0.302031235608664,-0.270935256506547,0
"ISR",1998,5970700,1637125535.46861,1608778574.06652,274.193232865261,269.445554803711,0.0283530031318113,0.0292007911247927,0.0162726214220008,0.0186707358073166,0.0120803817098105,0.0105300553174761,0.0868684876434638,-0.217175437404723,-0.696079053457281,-0.0671048680912525,0.124516790625724,-0.188494870335137,1
