"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time","resid_stage1"
"ITA",2012,60191243,22444474844.8868,22416110302.7613,372.886049967215,372.414809622078,-0.0475659791663476,-0.046261119403419,0.000795119394267907,0.00265209109328168,-0.0483610985606155,-0.0489132104967007,-0.168011050308722,0.618825233590665,1.47188919236177,0.641849069120332,0.553801121145608,0.764704936186922,6,-0.00630421177213433
"ITA",2013,60311616,22015918991.3886,21978072908.8745,365.036131537059,364.408622525958,-0.0212765377081929,-0.0217324853013743,0.0078495719989311,0.0050414621375996,-0.029126109707124,-0.0267739474389739,-0.164464330470674,0.602077310632001,1.67444676024634,0.562070908816461,0.546980026091335,0.743765512442003,7,-0.000521162627339278
"ITA",2014,60320708,22160895103.8411,22160908650.6912,367.384532420294,367.384757000716,0.00641273259097375,0.0081338557202848,0.0159654849278255,0.0183743549713968,-0.00955275233685171,-0.010240499251112,-0.14343722627599,0.552550012817413,1.63726569495575,0.503800858672792,0.412057696651784,0.717544087116523,8,-0.000839185903256783
"JPN",1993,124938000,51294991677.027,51903787162.8371,410.563572948398,415.436353734149,-0.0147967672063576,-0.00908466863411306,-0.00135462222161831,-0.00166973190616737,-0.0134421449847393,-0.00741493672794569,0.0419260796117704,0.564877322064124,0.496714697897729,0.662149203785812,0.927541242671154,0.607319177105106,-13,0.00470937603720013
"JPN",1994,125265000,51591305917.9017,52011413888.436,411.85730984634,415.211063652545,0.00314617002599427,-0.000542444561706823,0.0220913250613259,0.0224786054372377,-0.0189451550353317,-0.0230210499989445,0.0415347437489676,0.554981472652926,0.590067165578958,0.67022730291488,0.798330770444992,0.61438923102389,-12,-0.00587566065213123
"JPN",1995,125570246,52505991714.5565,52944677292.1402,418.140390634868,421.633937805141,0.0151402848611477,0.0153505135689977,0.0196658274612975,0.0181449363020514,-0.00452554260014981,-0.00279442273305364,0.0327558434402551,0.526168469653986,0.736958903494232,0.67324633351787,0.480958316587568,0.619504375446246,-11,0.0013841955254705
"JPN",1996,125864000,53991345715.6334,54629630788.51,428.965754430444,434.036982683769,0.0255598503409233,0.0289922523993402,0.0169687253259871,0.0199157558270775,0.0085911250149362,0.00907649657226273,0.0236164656573814,0.612577914941527,0.848001354841445,0.754356765861602,0.665296008806158,0.699847228944778,-10,0.00146576515792759
"JPN",1997,126166000,53854740184.0926,54548101553.537,426.856206775935,432.351834515932,-0.00492988500559033,-0.00389005550263377,0.020118714724223,0.0234582751556349,-0.0250485997298133,-0.0273483306582687,0.00679883306459639,0.621587527147309,0.874528864088461,0.766596284045755,0.633988210755187,0.70294954191988,-9,-0.00486487677100055
"JPN",1998,126486000,52464156016.3368,53103957144.4379,414.782315958579,419.840592195484,-0.0286933614809657,-0.0293645916831107,0.0166442682700927,0.0190432546603718,-0.0453376297510584,-0.0484078463434825,0.0308634291103573,0.700021002701681,1.01462382271872,0.882350479620886,0.523895566468116,0.808108904732353,-8,-0.00682212092586068
"JPN",1999,126686000,51755911823.5274,52384193689.6366,408.536948230486,413.496311270674,-0.015171483998218,-0.0152265031653753,0.0228857791746693,0.0226003218471122,-0.0380572631728873,-0.0378268250124876,0.0763970690958995,0.433017130699665,0.814053132259855,0.626749869368977,0.151775998641724,0.542927649886532,-7,-0.00153741515076687
"JPN",2000,126925843,53021228875.6448,53777017916.3661,417.733911569488,423.688483332477,0.0222622958776535,0.0243498824035351,0.0275917314821177,0.030749892461027,-0.00532943560446419,-0.00640001005749191,0.0580702736521382,0.273107133387928,0.873666200957842,0.463894309065357,0.0308146375493439,0.377679099356746,-6,-0.0012581076824904
"JPN",2001,127291000,53003231559.9902,53815374173.356,416.394179949802,422.774384468313,-0.00321229505479437,-0.00215980937681959,0.00429049256645264,0.00495620591270285,-0.00750278762124701,-0.00711601528952244,0.0404248210865629,0.337343177482302,0.795692011126391,0.512877643416447,0.136620742342099,0.440200775107208,-5,3.27989391363901e-05
"JPN",2002,127435000,52783925842.692,53542831819.9608,414.20273741666,420.157977164521,-0.00527680171287148,-0.00620789004063926,0.00834388227701144,0.00648753469019425,-0.0136206839898829,-0.0126954247308335,0.0451749916061939,0.356899776087904,0.900296510152353,0.5348047405503,0.0468567474714874,0.474914077707047,-4,0.000313167436916108
"JPN",2003,127619000,52705507664.7029,53547027498.2606,412.991072369341,419.585073525577,-0.00292958167619783,-0.00136447387652527,0.0122912048671653,0.0116199903834531,-0.0152207865433631,-0.0129844642599783,0.039539073290321,0.35558113742744,0.845557490922965,0.558972634625881,-0.0145210755101068,0.495086204476592,-3,0.00156892493454429
"JPN",2004,127687000,53149740462.8279,54165883572.9788,416.250209205541,424.208287241292,0.00786056770215549,0.0109582753195472,0.0246676474896086,0.0264226761369253,-0.0168070797874531,-0.0154644008173781,0.0205711646874942,0.330164403983939,0.86705191742714,0.51883226933043,-0.070728382125472,0.471041225098127,-2,0.000478412051973395
"JPN",2005,127767994,53577531010.0872,54755551311.7308,419.334524498265,428.554519778488,0.00738244531371546,0.0101933858614291,0.018590244645126,0.0198301255349689,-0.0112077993314106,-0.00963673967353973,0.0171965252659209,0.379637194892294,0.705037336859538,0.584283198718751,0.0190673003921984,0.527508931883559,-1,0.00106985612710559
"JPN",2006,127900515,53758218016.6003,55181408676.4157,420.312756493595,431.440081976337,0.00233010327091865,0.00671067706888095,0.0213658475515661,0.0248719015186785,-0.0190357442806475,-0.0181612244497975,-0.00723574967879137,0.367903379564254,0.694815459619564,0.592022889578648,-0.0292503392846784,0.544948726966154,0,-0.0002536353541478
"JPN",2007,128032743,54132888564.5806,55776752867.114,422.805036400576,435.644441884011,0.00591207346657896,0.00969776934647371,0.0188083281161457,0.0132610790346419,-0.0128962546495668,-0.0035633096881682,-0.0082905070554754,0.446851240753262,0.618050605027594,0.708481912396562,-0.0253955704198945,0.644485029819663,1,0.00866823583709934
"JPN",2008,128083960,52296967767.5625,53688150098.1116,408.302239933575,419.163727434033,-0.0349034816317024,-0.0385648091863775,-0.0172992014437723,-0.0221037709787,-0.0176042801879301,-0.0164610382076775,0.0199488410184886,0.581805730625657,0.720201759308498,0.855160249130559,0.132475252382218,0.795771628210654,2,0.000624960628995138
"JPN",2009,128031514,49625869629.0295,50862606566.9492,387.606676501767,397.266305598395,-0.0520165792049152,-0.053654750432405,-0.0355812704632736,-0.034371468752588,-0.0164353087416416,-0.019283281679817,-0.0306340355488072,0.406257432532942,0.651057269390881,0.713762964658379,-0.10106517576442,0.644395646251355,3,-0.0037820748048189
"JPN",2010,128057352,51075695033.4097,52424415227.3048,398.850157649751,409.382315099759,0.0285946965127968,0.0300426244128564,0.0181619500143499,0.0238900220366913,0.0104327464984468,0.00615260237616511,-0.0329303721113189,0.481852803925932,0.796364810367305,0.824527700966704,-0.0865469504376397,0.736719173310537,4,-0.00355085075876747
"JPN",2011,127834233,50311928219.7246,51764657513.4678,393.571636008678,404.93580083097,-0.0133227020224584,-0.0109209371011101,0.00209711609831942,0.00582152923367207,-0.0154198181207779,-0.0167424663347822,-0.041767771373883,0.551764414297648,0.758053768167292,0.902552527540345,-0.00694521030399153,0.822306130639179,5,-0.00213104022823436
