iso,year,gdp_dev,gni_dev
ISL,2011,0.0031583168090332236,NA
ISL,2012,-0.006336686976052164,NA
ISL,2013,0.011630308228356867,NA
ISL,2014,-0.012961160968016472,NA
ISL,2015,0.0032600969466543006,NA
ISL,2016,0.027797897119713255,NA
ISL,2017,-0.014537236355911531,NA
ISL,2018,-0.0023293016087695406,NA
ISL,2019,-0.023916539973519946,NA
ISL,2020,-0.036209984065409984,NA
ISL,2021,-0.022730573140181676,NA
ISL,2022,0.030162229514610672,NA
ISL,2023,0.008900261212312799,NA
ISL,2024,-0.04535094257473915,NA
ISL,2025,NA,NA
ISR,1990,NA,NA
ISR,1991,NA,NA
ISR,1992,NA,NA
ISR,1993,NA,NA
ISR,1994,NA,NA
ISR,1995,NA,NA
ISR,1996,-0.00533693368282151,0.0013873389281560122
ISR,1997,-0.024586406547580708,-0.01924762677242242
ISR,1998,-0.017350495011408285,-0.012957405190162419
ISR,1999,-0.025426468125894885,-0.08708631421283819
ISR,2000,0.014859502750287135,-0.011675596149224532
ISR,2001,-0.035829624899616164,-0.014448740401679316
ISR,2002,-0.03369073576593706,-0.030723555315974593
ISR,2003,-0.017253104934718877,-0.02674100817945302
ISR,2004,-0.0017979913961116978,-0.00804452042323689
ISR,2005,3.702410425159286e-4,0.013432660940646102
ISR,2006,0.004593945735294369,-0.0036449721108571254
ISR,2007,0.01571838526123237,0.016362080644437782
ISR,2008,0.005798984270041885,-0.008860372085706558
ISR,2009,0.030773336077338342,0.03949025175261589
ISR,2010,0.007826088416877042,0.0016049338904551291
ISR,2011,0.015901778959110047,0.011215516203149534
ISR,2012,-0.007282457320290092,-0.011735332425157452
ISR,2013,0.008986391362562074,0.01692119953294302
ISR,2014,-0.001774048455279953,0.00874827161819347
ISR,2015,-0.020694963100147845,-0.00506388164220084
ISR,2016,0.0074418482182707635,0.014075923377728117
ISR,2017,-3.244473298487094e-4,4.7094586432550045e-4
ISR,2018,-0.0017561537211179257,-0.005126743491382868
ISR,2019,5.486154155924794e-4,0.0037819174887498974
ISR,2020,0.008077509022660578,0.009974094019167268
ISR,2021,0.015204205676402793,0.007814962393249303
ISR,2022,0.011217287272094367,0.024832760348431293
ISR,2023,-0.018018688751098466,-0.025715107173155616
ISR,2024,-0.0211459570599537,0.6338523244335654
ISR,2025,NA,NA
ITA,1990,NA,NA
ITA,1991,0.003869020097491571,NA
ITA,1992,-0.0115870044735491,NA
ITA,1993,-0.020983682827012018,NA
ITA,1994,-0.010936478461491816,NA
ITA,1995,0.004032124394438341,NA
ITA,1996,-0.01621199435338383,-0.013422692742572906
ITA,1997,-0.016322259952630702,-0.012329225739151184
ITA,1998,-0.013773957562086991,-0.01203075709345569
ITA,1999,-0.015295759876561732,-0.0727356337433438
ITA,2000,-0.001483156680018638,-0.015976388397401564
ITA,2001,0.004846873366314952,0.0074493499788399475
ITA,2002,-0.012181798291768686,-0.009016296956620096
ITA,2003,-0.02383284202997693,-0.022559821078896647
ITA,2004,-0.023627525606839228,-0.024120542105968923
ITA,2005,-0.024791441160031624,-0.027812434300093614
ITA,2006,-0.01636786611988228,-0.030902560749426655
ITA,2007,-0.017178535139080964,-0.012137586389767918
ITA,2008,-0.021857833869798782,-0.0268548927688812
ITA,2009,-0.023888223089787886,-0.012296860378635088
ITA,2010,-0.016597198580411643,-0.03148917371070503
ITA,2011,-0.014093178969625697,-0.019565647646523132
ITA,2012,-0.0460685574354347,-0.05042478166907394
ITA,2013,-0.03361512174514303,-0.029258483714553307
ITA,2014,-0.020819039583818366,-0.015229411144790816
ITA,2015,-0.013804871681831088,-0.016690316121795945
ITA,2016,-0.003655047604542716,0.013181647395144935
ITA,2017,-0.007001228253670888,-0.010174088431542216
ITA,2018,-0.012676062059677307,-0.008193764664854442
ITA,2019,-0.011273212950875688,-0.014840561535288899
ITA,2020,-0.04300344709150217,-0.02776833348391783
ITA,2021,0.03250867051164441,0.012876176915517235
ITA,2022,0.01797404753602727,-0.007994831589909879
ITA,2023,-0.006370239611170447,0.015099901554686213
ITA,2024,-0.009701742224235588,0.6440246583576155
ITA,2025,NA,NA
JPN,1990,NA,NA
JPN,1991,0.020264664873113958,NA
JPN,1992,-0.014297200611000704,NA
JPN,1993,-0.019384957602332165,NA
JPN,1994,-0.023852857470146205,NA
JPN,1995,-8.736054913160984e-4,-0.18029679585337988
JPN,1996,-7.378691572021978e-4,-0.0038154962857781527
JPN,1997,-0.02746764203563501,-0.03221783390931776
JPN,1998,-0.04664881810472643,-0.0475596437749477
JPN,1999,-0.03665330856805227,-0.09896320024143357
JPN,2000,-0.013887798719828481,-0.016696093924711164
JPN,2001,-0.013571312478331876,-0.013733496423924407
JPN,2002,-0.013863643356701871,-0.014526980229220499
JPN,2003,-0.005488865033516532,-0.007621915167989712
JPN,2004,-0.009916391762786247,-0.012524956818074529
JPN,2005,-0.00852321889612817,-0.0129956637177564
JPN,2006,-0.017611744964810327,-0.03204438300346446
JPN,2007,-0.011913922712421865,-0.008240790495170458
JPN,2008,-0.016576421578959,-0.025153414047231593
JPN,2009,-0.02179088166484,-0.017892669283183338
JPN,2010,0.012615390246700997,0.003615989412121934
JPN,2011,-0.015581635559650309,-0.023113393817249417
JPN,2012,0.003958545684591641,-0.0012317990709060922
JPN,2013,0.007987226318357799,0.01115650373168009
JPN,2014,-0.016306476617140575,-0.018635284528311757
JPN,2015,-0.007531567977995479,0.007867602497466208
JPN,2016,-0.009915580164479465,-0.005555322641995986
JPN,2017,-0.007207638756698387,-0.011949290158783654
JPN,2018,-0.015242009830979342,-0.020894605293296564
JPN,2019,-0.020530159125494052,-0.02076901194438463
JPN,2020,0.005645240953283448,0.013939045973573982
JPN,2021,-0.026465892587724582,-0.034100540314444316
JPN,2022,-0.01732654810407297,-0.02323433598737168
JPN,2023,0.0028361081498662344,0.020854707345783652
JPN,2024,-0.011585505085328407,NA
JPN,2025,NA,NA
LTU,1990,NA,NA
LTU,1991,NA,NA
LTU,1992,NA,NA
LTU,1993,NA,NA
LTU,1994,NA,NA
LTU,1995,NA,NA
LTU,1996,0.02735293640957437,0.06119679470505446
LTU,1997,0.052251921038759974,0.06868745698128542
LTU,1998,0.04784983396965714,0.03770279557338263
LTU,1999,-0.03570356977098044,-0.08373231672323023
LTU,2000,0.0015323442735173387,0.024123828089180677
LTU,2001,0.056708863230516826,0.058804519127980015
LTU,2002,0.060115738189562506,0.06808065685395626
LTU,2003,0.08934439288805507,0.07537586668915353
LTU,2004,0.043409841559144624,0.0829365036627081
LTU,2005,0.06420520032000887,0.07579557627147615
LTU,2006,0.05711018017302294,0.027108495964512258
LTU,2007,0.09132823507582444,0.08596884770659052
LTU,2008,0.03208761585655573,0.07025337692403433
LTU,2009,-0.11309826081889618,-0.09041055046989577
LTU,2010,-0.00211882299406696,-0.03146141652065815
LTU,2011,0.0663394390571792,0.03789866940893205
LTU,2012,0.04426830527191683,0.033986630350309355
LTU,2013,0.035776324622727174,0.043508274579849626
LTU,2014,0.024513633163561366,0.037214423651894535
LTU,2015,0.012740967135412617,0.0056645219878550535
LTU,2016,0.020198887200605142,0.03213838587809548
LTU,2017,0.03242778252522882,0.03091268218883414
LTU,2018,0.033296455959508364,0.028619410213650553
LTU,2019,0.03056168267251458,0.033203397875352536
LTU,2020,0.04567394481376574,0.05886622909600803
LTU,2021,0.004362805431387784,-0.049873734818094206
LTU,2022,-0.014323379550118531,-0.08807953810870117
LTU,2023,-0.027171921296796242,0.04590572730844933
LTU,2024,0.004492119935004979,0.6732142094409497
LTU,2025,NA,NA
LUX,1990,NA,NA
LUX,1991,0.05897758866060343,0.04937085909477901
LUX,1992,-0.015080491843473709,-0.03771019539026632
LUX,1993,0.015169581345951144,0.01573485713978151
LUX,1994,-0.008984923262840283,-0.22417240383937376
LUX,1995,-0.024208354771102947,-0.17070227144775352
LUX,1996,-0.02742784622523864,-0.01457310432720682
LUX,1997,0.004997198671263803,0.003740704243416104
LUX,1998,0.02059133481335884,-0.04258503906320854
LUX,1999,0.032469897658371494,-0.024161146245349485
LUX,2000,0.014979907636103462,-0.014426615190879843
LUX,2001,0.0048018425064544346,-0.00912380266195889
LUX,2002,0.008018448751572649,-0.05305088831547522
LUX,2003,-0.005723023012487616,-0.05187655210545117
LUX,2004,-0.0030908515251208968,0.10919462947433978
LUX,2005,-0.017579812267356942,0.001891181347605908
LUX,2006,0.012829900641511571,-0.08731471292987258
LUX,2007,0.035954578318253994,0.09539628218269058
LUX,2008,-0.02444511654995729,-0.0591166369571674
LUX,2009,-0.014720590362014008,-0.22467376079967138
LUX,2010,-0.008970657281862415,0.08079251210851979
LUX,2011,-0.030324643842719823,-0.001071706114922577
LUX,2012,-0.018198737303491086,0.0908586376470133
LUX,2013,-0.007722758138454466,-0.06730559041750439
LUX,2014,-0.01832083562054443,0.0069319504199043536
LUX,2015,-0.021331825993074816,-0.13931410202232009
LUX,2016,0.005207928487923397,0.015520988747885767
LUX,2017,-0.03346685412671491,0.042319979123529805
LUX,2018,-0.02663223316700858,-0.023547965142057592
LUX,2019,-0.011591406412888361,-0.0695657949114512
LUX,2020,0.024519871601972554,0.05608951562835962
LUX,2021,-0.006898524614491919,-0.0010185062280267942
LUX,2022,-0.0639842054977624,-0.10934433081879824
LUX,2023,-0.03444929220384729,0.0246532501152128
LUX,2024,-0.029360206739042383,0.595228583112549
LUX,2025,NA,NA
LVA,1990,NA,NA
LVA,1991,NA,NA
LVA,1992,NA,NA
LVA,1993,NA,NA
LVA,1994,NA,NA
LVA,1995,NA,NA
LVA,1996,0.004608404427328239,-0.0026235701722452376
LVA,1997,0.06258032903960853,0.028623438355683817
LVA,1998,0.04172183957830278,0.05804324471006517
LVA,1999,0.004261070602222361,-0.056689705420080116
LVA,2000,0.027110038826259952,0.014430304668229255
LVA,2001,0.06096191921831462,0.07030768877645599
LVA,2002,0.07266777944473723,0.06147410631744599
LVA,2003,0.0715266727361783,0.06765840453137884
LVA,2004,0.06386407770599867,0.05383952460602437
LVA,2005,0.09411165232485175,0.10002449029339822
LVA,2006,0.09947975686325705,0.07385725215036842
LVA,2007,0.08143969809841956,0.11762153267254583
LVA,2008,-0.027691954316582112,-0.002528536561051453
LVA,2009,-0.12186321298898406,-0.048504745673985994
LVA,2010,-0.04356151453896828,-0.1066228445105164
LVA,2011,0.0308586197166143,0.03781923332122261
LVA,2012,0.07122816515581931,0.044127827864445024
LVA,2013,0.01777441943594482,0.02733667140736884
LVA,2014,0.009343590278044545,0.004666123479363904
LVA,2015,0.021531265115962483,0.017109777782071234
LVA,2016,0.016485750127079868,0.03933644274644621
LVA,2017,0.017953687064352408,0.018270590177731805
LVA,2018,0.02691030552428586,0.025275749782604606
LVA,2019,-0.004496944443491913,0.014480198268749689
LVA,2020,0.016144867350984526,0.043890388755530196
LVA,2021,0.017441056772076635,-0.0189963871098886
LVA,2022,-0.013011281480050485,-0.02851390949693844
LVA,2023,-0.02355262761439647,0.0034321459551680533
LVA,2024,-0.008639881504672431,0.64762990682486965
LVA,2025,NA,NA
MEX,1990,NA,NA
MEX,1991,0.010756088135101649,0.010306002915719148
MEX,1992,-0.0012553106423567328,-0.0017981683324652664
MEX,1993,3.0257560836410846e-4,0.01339090367539697
MEX,1994,-0.0047598306384522004,-0.18784847274989858
MEX,1995,-0.10063646039871621,-0.30414130084417756
MEX,1996,0.01645740129867157,0.010788442120166053
MEX,1997,0.02089237726313442,0.0345820084009425
MEX,1998,0.015560951874887152,0.008066314135461994
MEX,1999,-0.016911744850766297,-0.059693077305633224
MEX,2000,-0.001911774546133671,0.010738401139043674
MEX,2001,-0.030953506407998432,-0.03739770834016731
MEX,2002,-0.02792834501694408,-0.01716063914486199
MEX,2003,-0.019818629588968406,-0.0050015663637328345
MEX,2004,-0.0074765141035548766,-0.006403766604645256
MEX,2005,-0.016935413396735655,-0.019061776538782382
MEX,2006,0.002981781736899336,-0.006518818837092155
MEX,2007,-0.018830291880755468,-0.00760805043742252
MEX,2008,-0.008290212386336648,0.016565006158170803
MEX,2009,-0.04245579894411655,-0.07177550736119187
MEX,2010,0.007627020116643735,0.003652527715283682
MEX,2011,0.004536280175363672,-0.005842116971141564
MEX,2012,0.011783113967481995,-0.0011855713068040785
MEX,2013,-0.016371354387512582,-0.019937465311782532
MEX,2014,-0.007438850238662198,-0.009644172906980941
MEX,2015,-0.008869487259449471,-0.028019697752698747
MEX,2016,-0.011706597455356516,-0.014322592803450718
MEX,2017,-0.01771878082915812,-0.007159173639170291
MEX,2018,-0.01592865064358051,-0.02058376487950042
MEX,2019,-0.035045765997317346,-0.03194882179749037
MEX,2020,-0.05357265052170668,-0.05738465591330133
MEX,2021,-0.0091666112834492,-0.011653987109145447
MEX,2022,-0.0022564534570381767,-0.004347062917700484
MEX,2023,0.010700640793562144,0.07632224160797563
MEX,2024,-0.008346088358841541,0.6363713047559507
MEX,2025,NA,NA
NLD,1990,NA,NA
NLD,1991,0.005629750432163405,0.006921510552574617
NLD,1992,-0.010135193417388777,-0.025397731042943406
NLD,1993,-0.006399690376220235,-0.006764647256416012
NLD,1994,-0.008767518147854148,-0.1896039121223918
NLD,1995,0.001171453839917902,-0.16783916468897075
NLD,1996,-2.4520086272161734e-4,0.002919951478601135
NLD,1997,0.0015377618838456897,0.0018745212016817447
NLD,1998,0.007929054890345455,-0.005365065873224495
NLD,1999,0.010772225675102831,-0.04288461062401616
NLD,2000,-0.004968714798772922,-0.005105916323621784
NLD,2001,0.0011063469721612762,-0.010226291291726142
NLD,2002,-0.016892500615115935,-0.0192587686871466
NLD,2003,-0.0228105484774499,-0.008621878441358533
NLD,2004,-0.014358405995018586,-0.02014255100569784
NLD,2005,-0.008745751620359954,-0.005585446222253765
NLD,2006,0.002969080067073193,0.0010163406141465714
NLD,2007,0.010304260110382657,0.007084839849499147
NLD,2008,0.013188396272342473,-0.01248495045341258
NLD,2009,-0.006015799844902858,-0.001888065916585191
NLD,2010,-0.019373212861557576,-9.499123336507154e-4
NLD,2011,-0.004668152065651299,-0.008075148300250135
NLD,2012,-0.02511650755437067,-0.03245441665018767
NLD,2013,-0.01649188815046365,-0.013043152800273461
NLD,2014,-0.008280351066808578,-0.017236457149326867
NLD,2015,-0.007586847908973127,-0.007293640211869956
NLD,2016,8.121836341388189e-4,-0.01297869363745896
NLD,2017,-0.00326837405900271,0.0068131212364264115
NLD,2018,-0.006537992586569175,0.0066432053180705
NLD,2019,-0.001827892810016607,-0.01749198175177291
NLD,2020,-3.454715055895008e-5,-0.005602431883103165
NLD,2021,-0.0025193504720224524,0.028305306309723832
NLD,2022,0.008188254853653376,-0.022746656756572392
NLD,2023,-0.032472659801802806,-0.0049489927379138265
NLD,2024,-0.012832141274554232,0.6384359072774899
NLD,2025,NA,NA
NOR,1990,NA,NA
NOR,1991,0.015032617861050923,0.002835243867039594
NOR,1992,0.009990438084663822,-0.008363284623841949
NOR,1993,0.010198360812619711,0.00583924022858362
NOR,1994,0.011520868744309354,-0.1848967245677695
NOR,1995,0.011244784988891254,-0.16237055810180934
NOR,1996,0.014724946941578665,0.03522804999922968
NOR,1997,0.011166614700387711,0.015177385697755952
NOR,1998,-0.010918409460598966,-0.05139432511171016
NOR,1999,-0.01823084629978844,-0.03668987812447
