iso,year,EHB_dev
NLD,1997,-0.15349143593001946
NLD,1998,-0.15698298807315114
NLD,1999,-0.19066657782532703
NLD,2000,-0.19647614361210564
NLD,2001,-0.2253033012225648
NLD,2002,-0.30563628132051857
NLD,2003,-0.3678359299441909
NZL,1993,0.14487027020171284
NZL,1994,0.13061854992614863
NZL,1995,0.12780073323823682
NZL,1996,0.05273888586189346
NZL,1997,0.03994842502367668
NZL,1998,0.02555313424451744
NZL,1999,0.07325016963106723
NZL,2000,-0.040247523881503766
NZL,2001,-0.15902461915027033
NZL,2002,-0.12879518783981136
NZL,2003,-0.09798395685166972
NOR,1993,-0.049885643960752235
NOR,1994,-5.304916537540727e-4
NOR,1995,0.0010595236310045886
NOR,1996,-0.0028972395459511135
NOR,1997,-0.016345159746939286
NOR,1998,-0.20090900615141272
NOR,1999,-0.16751331352119847
NOR,2000,-0.18747742232899955
NOR,2001,-0.1361594883136984
NOR,2002,-0.21763873579732862
NOR,2003,-0.1829508505587828
PRT,1993,NA
PRT,1994,NA
PRT,1995,NA
PRT,1996,NA
PRT,1997,0.03756762792346313
PRT,1998,0.10259495421001297
PRT,1999,0.09533463616580196
PRT,2000,0.09965080138479498
PRT,2001,0.07255203650583208
PRT,2002,0.025223141579350017
PRT,2003,-0.04599668847155647
ESP,1993,0.11391598711629136
ESP,1994,0.11882820961724705
ESP,1995,0.12051997838626527
ESP,1996,0.1322431316478444
ESP,1997,0.10597843675027063
ESP,1998,0.11713620151009518
ESP,1999,0.05525271071644411
ESP,2000,0.07976972162932394
ESP,2001,0.137835653390198
ESP,2002,0.17690040531538365
ESP,2003,0.19482855061636994
SWE,1993,0.011167372359395245
SWE,1994,-0.009746883249823646
SWE,1995,-0.020172762049537662
SWE,1996,-0.0049610377483347845
SWE,1997,-0.0283102144160704
SWE,1998,-0.05882226259424639
SWE,1999,-0.07100410880076413
SWE,2000,-0.050829502243337044
SWE,2001,-0.10052367828301045
SWE,2002,-0.12403019095897161
SWE,2003,-0.09145421448989521
CHE,1993,-0.2380399098439051
CHE,1994,-0.23840052892707075
CHE,1995,-0.1890775023986394
CHE,1996,-0.2077680785002468
CHE,1997,-0.15274854568937501
CHE,1998,-0.15257974459778778
CHE,1999,-0.17656355427088177
CHE,2000,-0.12484741638821883
CHE,2001,-0.2510127892606442
CHE,2002,-0.11932189647076807
CHE,2003,-0.158091555198696
TUR,1993,0.15458076225906936
TUR,1994,0.1388608133540108
TUR,1995,0.1313138085996619
TUR,1996,0.15041025522792328
TUR,1997,0.17149135919121405
TUR,1998,0.17985823465098838
TUR,1999,0.23143653451867574
TUR,2000,0.25658757685340416
TUR,2001,0.273372711129481
TUR,2002,0.2841682345255049
TUR,2003,0.30512668857446124
GBR,1993,-0.0801837220146846
GBR,1994,-0.08490808264446859
GBR,1995,-0.08615618053063201
GBR,1996,-0.07274618146972156
GBR,1997,-0.06239031049864663
GBR,1998,-0.03876242191509849
GBR,1999,-0.046993254738999624
GBR,2000,-0.051470173348820425
GBR,2001,-0.05145293518172944
GBR,2002,-0.06818676666023771
GBR,2003,-0.06423541053873272
USA,1993,0.010266748479467735
USA,1994,-0.010411121021883685
USA,1995,-0.010770867647140414
USA,1996,-0.018401229878677428
USA,1997,-0.02601886800610087
USA,1998,-0.01698105022918095
USA,1999,0.008551354642147957
USA,2000,0.04174577223247489
USA,2001,0.058827111412602995
USA,2002,0.0719554817476934
USA,2003,0.060662156683614965
