iso,year,ehb_crude_dev_non_ppp,eq_ehb_crude_dev_non_ppp,debt_ehb_crude_dev_non_ppp,fdi_ehb_crude_dev_non_ppp,eq_debt_ehb_crude_dev_non_ppp
BEL,1996,1.3239796647366626,1.4647953567243126,Inf,0.9934350803590557,1.6177488248352498
BEL,1997,1.2610913552314902,1.2561958929531294,Inf,0.9949048298553098,1.500256840405785
BEL,1998,1.2718158742307917,1.3075003250600306,Inf,1.1523643082444313,1.4248362899681095
BEL,1999,1.2589096766016494,1.2428878634566827,Inf,1.137442354567876,1.4050468202334039
BEL,2000,1.2228210823128818,1.2047445256717522,Inf,1.1775864521866413,1.3294622972766525
BEL,2001,1.1697096129134859,1.0658529789073117,1.6921052776060788,1.0676218457894278,1.3044843531208319
BEL,2002,1.1492075666218342,1.0502574059155814,1.5694808538726497,1.1117773595870464,1.2530709430704765
BEL,2003,1.0855499134298854,0.9963817074981568,1.4540455264660106,1.1232080621224159,1.1469376929826356
CAN,1993,0.7293755749978234,1.3047974113960485,Inf,1.1524590478361592,0.48886463703848415
CAN,1994,0.6291832183950565,1.2617124379267297,Inf,1.0624584911553279,0.3833527901706273
CAN,1995,0.7858205766382579,1.258365653259273,Inf,1.1666679176380879,0.4474687374973767
CAN,1996,0.834729254926741,1.2485768340107808,Inf,1.2575551460135346,0.4280303673689916
CAN,1997,0.7966323988793518,1.0684459858140387,Inf,1.2601834297825967,0.32320137671518645
CAN,1998,0.7419058557324614,0.9160390292824254,Inf,1.279781462331244,0.1981472970072562
CAN,1999,0.6817093199351154,0.9089911315280792,Inf,1.2052567408036114,0.24819501486904927
CAN,2000,0.5028466073455042,0.7140964688501226,Inf,0.9824291894439099,0.06912914320388386
CAN,2001,0.3352422494852012,0.6664706236183455,-1.56305776145676,0.7774136668875747,-0.05741812593700235
CAN,2002,0.1753313217033399,0.6322722144227313,-1.4375041830232045,0.6137246086102173,-0.21165415006994537
CAN,2003,0.1489081427111598,0.5930253513273409,-1.4792605495199547,0.6067891631675775,-0.23543494477049465
DNK,1993,0.28956545334795236,0.5346519976382975,Inf,0.5063958487686182,0.33911451296172457
DNK,1994,0.19817939545626473,0.4532679644883588,Inf,0.5545394271486062,0.0779373848248972
DNK,1995,0.22863547783291227,0.3366484290832097,Inf,0.4667950566116057,0.12311545248302203
DNK,1996,0.20559155733946555,0.47748423139197804,Inf,0.38709360748208677,0.14326247236046208
DNK,1997,0.18879804266842481,0.5755170547942652,Inf,0.2863759961950527,0.19466448649495427
DNK,1998,0.21092688123538095,0.6286139411898244,Inf,0.29864647919622755,0.2312634125944375
DNK,1999,0.29270855319633016,0.7008122255242863,Inf,0.41757125408467455,0.2931007995822992
DNK,2000,0.4844563709334223,0.7803239414554053,Inf,0.6420644842363369,0.44488469538787234
DNK,2001,0.41327112765955437,0.5958253582119493,0.33784620955995726,0.5882950946185653,0.3484447941939941
DNK,2002,0.31499150892156946,0.3419422943403776,0.3528774627689357,0.5301376685040509,0.2168443226708735
DNK,2003,0.2514392687452118,0.3375217925064107,0.4117932621844911,0.3804429805433589,0.2446974121491896
FIN,1993,-0.030807099058494103,-2.245355935035823,Inf,0.5589464284859187,-0.6680185917089716
FIN,1994,-0.19523565515251007,-2.1920734032909444,Inf,0.48186822054640244,-1.1324325571567697
FIN,1995,-0.31871895095275926,-2.0284927915352324,Inf,0.3006870086212836,-1.414596433829343
FIN,1996,-0.20471031473218315,-1.5069020137299645,Inf,0.32775319386905455,-0.8626540509524783
FIN,1997,-0.1626542584736861,-1.0466729225952078,Inf,0.30854844912485024,-0.6516170103292516
FIN,1998,-0.0998713706222153,-0.9178315678291162,Inf,0.4248646838575769,-0.6167032040413429
FIN,1999,0.08905806430022911,-0.3255357067328797,Inf,0.49644879105664574,-0.17792617708384606
FIN,2000,0.4323859848740913,0.018920110229406095,Inf,0.7756582716940216,0.20049356374855742
FIN,2001,0.33092527284762063,-0.02996988340471196,0.5246558098855378,0.6085450255824508,0.1622730490547094
FIN,2002,0.4259864784520043,0.13981699563050687,0.6432426661104346,0.6373960869341349,0.33157288436424615
FIN,2003,0.35525877497648606,0.21124335435727182,0.5980328827941199,0.5250993127349088,0.3142736190945175
FRA,1993,0.446147546916728,0.19052701970564456,Inf,0.9191039023147383,0.10876016806530897
FRA,1994,0.4427667052353652,0.06804492548590435,Inf,0.8372739156076976,0.26341103506163766
FRA,1995,0.4459701953658124,-0.13380023472129254,Inf,0.8033269815367388,0.15237506196191264
FRA,1996,0.5305821714238378,-0.1504570290073497,Inf,0.9584044968460474,0.11423307875512845
FRA,1997,0.6739957354382522,-0.06314294759563266,Inf,1.0919448173172484,0.286232147817328
FRA,1998,0.6821624190756219,-0.030282154964667907,Inf,1.1075018296318047,0.339330173069599
FRA,1999,0.2157639758247975,-0.08759642531528034,Inf,0.2279493974217781,0.28994295168568185
FRA,2000,0.3658266119794287,-0.022428014652936312,Inf,0.4513479217032812,0.38418725640918094
FRA,2001,0.337587087017636,-0.08551544169132508,0.8558670129221446,0.39316054138503453,0.3705855884089171
FRA,2002,0.36803103985323266,-0.05834881014437765,0.9026046462209584,0.32802510952511665,0.4735306229167353
FRA,2003,0.3458497396476342,0.08549542416792177,0.9039150964259752,0.24178334715950955,0.4943214718904524
DEU,1993,0.06758687380327388,0.5286855339765189,Inf,-0.09329335852541298,0.4141010295872598
DEU,1994,0.018749178439364744,0.5965566955028989,Inf,-0.10061439315004828,0.3424450948078137
DEU,1995,0.028369460156978166,0.42529552469400356,Inf,-0.15362692342436457,0.3044389745373879
DEU,1996,-0.015334756803590421,0.3359987725364477,Inf,-0.14878037890763052,0.17572708424677264
DEU,1997,0.11560587241905484,0.40097000252654214,Inf,0.03862625533378017,0.25075641323826336
DEU,1998,0.17253717530171053,0.5150350515682169,Inf,0.053689641635158436,0.325231383038191
DEU,1999,0.1801139987915174,0.49247385939680655,Inf,0.09841841778041416,0.3063545940182575
DEU,2000,0.2814735207971132,0.6128611017103334,Inf,0.17816172542596997,0.42167455066801085
DEU,2001,0.2138641878937708,0.4422660742724567,0.41227065133114693,0.18953964707244042,0.3017318052099658
DEU,2002,0.19538264774510603,0.38203507381774227,0.4287393354865341,0.19037372324284352,0.2780459054224961
DEU,2003,0.08768349598239611,0.28937491756107625,0.335842044262431,0.07826157872086625,0.1802471430410053
GRC,1993,NA,-2.1927457457490958,NA,-2.4633170151239865,NA
GRC,1994,NA,-2.3127489311630818,NA,-2.535587228575561,NA
GRC,1995,-1.9589123862877658,-2.4024447794633566,Inf,-2.417558580242763,-1.5458539392067316
GRC,1996,-1.9168811321466537,-2.5517865113087494,Inf,-2.222113484431637,-1.6346637172779328
GRC,1997,-1.9714856450877776,-2.314123359820397,Inf,-2.178380536412485,-1.7617193207516908
GRC,1998,-2.078361917493306,-2.458345113270523,Inf,-2.110034687994509,-1.9761346696158972
GRC,1999,-2.1443787969414236,-2.863013658001284,Inf,-1.9603777103238373,-2.1887537732480915
GRC,2000,-2.052568416100001,-2.704298674848042,Inf,-1.6273419183358662,-2.397499134334061
GRC,2001,-1.6673786842994163,-2.113139422910805,-1.1517902085827951,-1.6007733540491949,-1.6425613974522546
GRC,2002,-1.3663094689225197,-2.107114960659625,-0.6921086194083135,-1.50529703936637,-1.2027866321898955
GRC,2003,-1.2223778368065656,-2.033647222465767,-0.39709838240942164,-1.5854614969280623,-0.9561310172344788
ISL,1993,-2.4627621693009507,-2.2205468419487593,Inf,-2.0957994947810956,-2.609292300885893
ISL,1994,-1.9015420168566841,-1.580611646391227,Inf,-1.8302141202223532,-1.7098168383274581
ISL,1995,-1.3058588098044088,-1.067644810276621,Inf,-1.095361073159009,-1.3750952432579822
ISL,1996,-1.188593218415742,-0.77797153289814025,Inf,-0.9123751052246813,-1.3630212420814267
ISL,1997,-1.0049223742979503,-0.34602070585544764,Inf,-0.8882059496208663,-1.0158457672480656
ISL,1998,-0.8997185860127029,-0.02339246906575365,Inf,-1.0460655139790536,-0.7324751929805886
ISL,1999,-0.6191489620330854,0.2964591375695915,Inf,-0.9988464701450113,-0.36820108059573475
ISL,2000,-0.5953156268591359,0.3332528546110547,Inf,-0.8766571567265593,-0.3689293857241138
