"","iso","country","year","gdp_usd_ppp","gni_usd_ppp","cons_usd_ppp","gdp_b3_adj","acons_b4_adj","pop_c4_adj","d_log_gdp_ppp","d_log_gni_ppp","d_log_cons_ppp","d_log_acons_b4","d_log_gdp_b3","agg_d_log_gdp_ppp","agg_d_log_gni_ppp","agg_d_log_cons_ppp","agg_d_log_acons_b4","agg_d_log_gdp_b3","dev_gdp_ppp","dev_gni_ppp","dev_cons_ppp","dev_acons_b4","dev_gdp_b3"
"55","DNK","Denmark",1994,129640546967.895,124466944114.15,103935012285.012,1.297e+11,9.21e+10,5206000,0.0499477046706982,0.0506955805770435,0.0481113902262962,0.0456822376963526,0.0497689297632107,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0285301288849027,0.0307199011317927,0.0335222230285819,0.0279944795915537,0.0283722216476257
"56","ESP","Spain",1994,661816711590.297,651831023614.133,540369014084.507,6.617e+11,4.866e+11,39166000,0.0217641797495141,0.00861671753989235,0.0077386844959868,0.00812447664186067,0.0217596252223728,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.00034660396371855,-0.0113589619053585,-0.0068504827017275,-0.00956328146293828,0.000362917106787819
"57","FIN","Finland",1994,102030643513.79,98422880490.2962,74561334641.8057,1.02e+11,6.56e+10,5089000,0.0340680133013311,0.0520451679966705,0.0145378885807546,0.0154862686792576,0.033436801896638,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0126504375155356,0.0320694885514197,-5.1278616959749e-05,-0.00220148942554133,0.012040093781053
"58","FRA","France",1994,1337612021857.92,1338202185792.35,1125543181818.18,1.3376e+12,9.827e+11,59210000,0.0168962674667412,0.0127371738878264,0.00681782978784362,0.00986726741536614,0.0168389130870761,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,-0.00452130831905428,-0.00723850555742445,-0.00777133740987068,-0.0078204906894328,-0.00455779502850895
"59","GBR","United Kingdom",1994,1250446202531.65,1241150316455.7,1097980230642.5,1.2496e+12,9.881e+11,57797000,0.0411429196754618,0.0433592850924143,0.0234346142824222,0.0249162713676263,0.0411742140146352,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0197253438896663,0.0233836056471635,0.00884544708470791,0.00722851326282736,0.0197775058990501
"60","GRC","Greece",1994,147089181286.55,151703897543.289,132698198198.198,1.47e+11,1.183e+11,10606000,0.0152592598029244,0.0156071001386948,0.0095367704835656,0.0142358699669813,0.0153890714597473,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,-0.00615831598287109,-0.00436857930655599,-0.0050523967141487,-0.0034518881378176,-0.0060076366558377
"61","IRL","Ireland",1994,61818467995.8027,58253934942.2875,45583243823.8453,6.18e+10,4.15e+10,3586000,0.0526040086447264,0.0436313514253435,0.0388081759064427,0.0409902810978036,0.0532355161837597,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0311864328589309,0.0236556719800927,0.0242190087087284,0.0233025229930046,0.0318388080681746
"62","ISL","Iceland",1994,6221550480.76923,5978497596.15385,5049667487.68473,6.2e+09,4.4e+09,266000,0.0319770118123177,0.0260915714671714,0.0238830009851938,0.0389728099995104,0.0252426171876081,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0105594360265222,0.00611589202192064,0.0092938337874795,0.0212850518947114,0.00384590907202309
"63","ITA","Italy",1994,1275564356435.64,1265335396039.6,1026223337515.68,1.2759e+12,9.226e+11,57204000,0.0191212647311367,0.015894981554343,0.00680738569390371,0.00632374761332244,0.019155907930676,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,-0.00229631105465877,-0.00408069789090781,-0.00778178150381059,-0.0113640104914765,-0.00224080018490902
"64","JPN","Japan",1994,3020592903225.81,3080944516129.03,2111136250000,3.0287e+12,1.9196e+12,124960000,0.00860294804673423,0.00886559214888649,0.0252890415445943,0.0239619179923825,0.00859873706477288,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,-0.0128146277390613,-0.0111100872963643,0.01069987434688,0.00627415988758351,-0.0127979710508122
"65","MEX","Mexico",1994,734287908496.732,709933333333.333,641335069444.444,7.343e+11,5.962e+11,89352000,0.0256498827462188,0.0266067635503582,0.0250382301558254,0.0256306778418285,0.0255778273974574,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.00423230696042332,0.00663108410510738,0.0104490629581111,0.00794291973702954,0.00418111928187237
"66","NLD","Netherlands",1994,351362162162.162,354971891891.892,277703575547.866,3.515e+11,2.336e+11,15381000,0.0223095312248223,0.0307629935679667,0.0084018671459738,0.00959698050217384,0.0223425906007702,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.000891955439026759,0.0107873141227159,-0.00618730005174051,-0.00809077760262511,0.000945882485185123
"67","NOR","Norway",1994,130917758046.615,128606113269.712,81323076923.0769,1.309e+11,7.04e+10,4337000,0.0454467194926824,0.0517307625111609,0.0213262219879979,0.0230394072889588,0.0451504613642424,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0240291437068869,0.0317550830659101,0.00673705479028364,0.00535164918415987,0.0237537532486574
"68","NZL","New Zealand",1994,66975172413.7931,62003448275.8621,53244285714.2857,6.72e+10,4.78e+10,3648000,0.0377666253810212,0.0420543358000174,0.0343468431045171,0.0421276159754829,0.038119120494617,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0163490495952257,0.0220786563547666,0.0197576759068028,0.0244398578706839,0.0167224123790319
"69","PRT","Portugal",1994,141110769230.769,139822774272.886,124456279809.221,1.41e+11,1.129e+11,9998000,0.0072041398251006,0.00296101558162931,0.0149531924811548,0.0127687234716873,0.00685925824780398,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,-0.0142134359606949,-0.0170146638636215,0.000364025283440483,-0.00491903463311161,-0.014537449867781
"70","SWE","Sweden",1994,195631011969.532,194929815016.322,164788268156.425,1.956e+11,1.452e+11,8781000,0.0337183126462612,0.049352725451536,0.0018785829853325,0.00260291317156813,0.0336084468943749,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0123007368604657,0.0293770460062852,-0.0127105842123818,-0.0150848449332308,0.0122117387787899
"71","TUR","Türkiye",1994,353487085892.288,355266569892.296,308054209815.06,3.535e+11,2.749e+11,60573000,-0.0741254955033774,-0.0768724934959497,-0.0735213305140725,-0.0732203897507535,-0.0741291052764286,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,-0.0955430712891729,-0.0968481729412005,-0.0881104977117868,-0.0909081478555525,-0.0955258133920136
"72","USA","United States",1994,7.7755e+12,7.6228e+12,6.5751e+12,7.7755e+12,5.8024e+12,263455000,0.0276981469739734,0.0271468261086198,0.017534664020987,0.0233702535638027,0.0276981469739734,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.00628057118817793,0.00717114666336904,0.00294549682327272,0.00568249545900379,0.00630143885838841
"73","AUS","Australia",1995,422021374045.802,401103816793.893,335180769230.769,4.209e+11,2.981e+11,18195000,0.0288432221412549,0.034190376668418,0.02522213394513,0.02465432310421,0.0287791574648306,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0141886551479971,0.0174744739848478,0.0169512294161471,0.0147025008649262,0.0141225490181611
"74","AUT","Austria",1995,199166301969.365,196912472647.702,162217787913.341,1.992e+11,1.453e+11,7948000,0.0174046689563792,0.0136045445844122,0.00927344968222776,0.00331830614457473,0.0177496508348156,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.00275010196312131,-0.00311135809915797,0.00100254515324494,-0.00663351609470908,0.00309304238814612
"75","BEL","Belgium",1995,235129207383.279,245953311617.807,185928651059.086,2.35e+11,1.667e+11,10137000,0.0214938926896604,0.0187802547450495,0.0133706481578084,0.0136460240681586,0.0211730821062037,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.00683932569640255,0.00206435206147937,0.00509974362882559,0.00369420182887481,0.00651647365953423
"76","CAN","Canada",1995,703932520325.203,679413008130.081,558390082644.628,7.019e+11,4.994e+11,29302000,0.0170555914980905,0.0179004294005942,0.00238723711920663,0.00514417698196645,0.0170480813235194,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0024010245048327,0.00118452671702407,-0.00588366740977619,-0.00480764525731736,0.00239147287684993
"77","CHE","Switzerland",1995,197853157894.737,209357894736.842,142236649214.66,1.982e+11,1.307e+11,7081000,-0.00244865593442434,0.0139961886670896,0.000944507349862178,0.00144733162255406,-0.00218870278871819,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,-0.0171032229276822,-0.00271971401648052,-0.00732639717912065,-0.00850449061672975,-0.0168453112353877
"78","DEU","Germany",1995,1892592252803.26,1907376146788.99,1569208826695.37,1.8922e+12,1.3985e+12,81661000,0.0142026626601606,0.0157318860015323,0.0160818169339727,0.0189732013633765,0.0141788986157003,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,-0.000451904333097275,-0.000984016682037847,0.00781091240498988,0.00902137912409273,-0.000477709830969175
"79","DNK","Denmark",1995,133209274673.008,128494530321.046,105529361179.361,1.332e+11,9.36e+10,5230000,0.0225563164614986,0.0272466948022263,0.0106239257632073,0.0115559687178273,0.0220281952794323,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.00790174946824074,0.0105307921186562,0.00235302123422443,0.00160414647854346,0.00737158683276284
"80","ESP","Spain",1995,680066037735.849,682707547169.811,550528169014.084,6.8e+11,4.955e+11,39223000,0.0257469749464239,0.0448269312124303,0.0171715732002866,0.016670637486472,0.0258262312179891,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.011092407953166,0.0281110285288602,0.00890066867130379,0.0067188152471882,0.0111696227713196
