"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev_non_ppp","eq_ehb_crude_dev_non_ppp","debt_ehb_crude_dev_non_ppp","fdi_ehb_crude_dev_non_ppp","eq_debt_ehb_crude_dev_non_ppp","time"
"CAN",2001,31020855,11870183367.3086,11535953548.6139,382.651715025539,371.877356333792,-0.00160821154579871,-0.00358104013523874,0.00303976255030847,0.0038019078815763,-0.00464797409610718,-0.00738294801681505,0.00134285506824827,0.0300705155553624,0.666470623618346,-0.935602654723584,0.777413666887575,-0.375824049522465,3
"CAN",2002,31359199,12106520658.0077,11800189764.1986,386.059626650785,376.291172622063,0.008866615508488,0.0117991263324333,0.00568943842718639,0.00382292913555471,0.00317717708130161,0.00797619719687859,0.117878962356964,-0.127448324191541,0.632272214422731,-1.06458706167258,0.613724608610217,-0.533323963893332,4
"CAN",2003,31642461,12384101148.7746,12079479661.0518,391.376042109197,381.749057415343,0.0136770116065712,0.0144002360086501,0.0110416401145388,0.0103800031386667,0.00263537149203241,0.00402023286998343,0.0607792574473631,-0.148109568560159,0.593025351327341,-1.15149084284345,0.606789163167577,-0.556087464702446,5
"DEU",1993,81156368,31418881995.1832,31446283453.186,387.140070082771,387.477707888382,-0.0229754118007035,-0.0233201298684227,-0.00340563508537883,-0.00388240817350027,-0.0195697767153247,-0.0194377216949224,-0.0856174077686609,0.261757226542256,0.528685533976519,0.494290725555337,-0.093293358525413,0.443723693816497,-5
"DEU",1994,81438346,31999570334.0945,31934047504.6765,392.930012774259,392.125443027495,0.0148449457221282,0.0119234772134957,0.0187885389977023,0.0188164926266712,-0.00394359327557403,-0.00689301541317544,-0.105499908916452,0.22641260619334,0.596556695502899,0.432173704327793,-0.100614393150048,0.399291168621426,-4
"DEU",1995,81678046,32522521569.7808,32478546077.0454,398.179476156675,397.641075755478,0.013271337290063,0.013967982368432,0.0158487713628999,0.0144459526849436,-0.00257743407283684,-0.000477970316511644,-0.0957104629091456,0.158426797824432,0.425295524694004,0.381715885849353,-0.153626923424365,0.332866565367785,-3
"DEU",1996,81914834,32540848554.4236,32544712501.7828,397.252206534699,397.299376835492,-0.00233148883101819,-0.000859684369859615,0.0148317097559252,0.0178701593677086,-0.0171631985869434,-0.0187298437375683,-0.08742095968632,0.110498146566029,0.335998772536448,0.318957323788914,-0.148780378907631,0.25769018708103,-2
"DEU",1997,82034775,32561012579.0286,32497452412.5449,396.917192483658,396.142397081541,-0.000843684159392843,-0.0029163591129393,0.0186296603121461,0.022191209762874,-0.0194733444715389,-0.0251075688758133,-0.0864750467611585,0.144113009667377,0.400970002526542,0.300149610028655,0.0386262553337802,0.253171821802293,-1
"DEU",1998,82047197,33171281789.6701,32980699177.1556,404.295125276127,401.972284039826,0.0184174436130906,0.0146094058598836,0.018980453161662,0.0217722047165152,-0.000563009548571358,-0.00716279885663162,-0.107608962135871,0.204763893813346,0.515035051568217,0.368908904574859,0.0536896416351584,0.320409278060524,0
"DEU",1999,82100243,33873969051.6634,33627779246.5504,412.592798923426,409.594150002094,0.0203160281813295,0.0187836503342256,0.0203275958208504,0.0202952471772466,-1.15676395209263e-05,-0.00151159684302105,-0.0719155437787443,0.216977367401354,0.492473859396807,0.387628335080164,0.0984184177804142,0.321071806539095,1
