iso,year,Population,consumption,GDP,GNI,NNI,consumption_pc,GDP_pc,GNI_pc,NNI_pc,gdp_log_diff,consumption_log_diff,gdp_log_diff_total,consumption_log_diff_total,gdp_dev,consumption_dev,EHB_dev,ehb_crude_dev,time,resid_stage1
AUS,2003,19720737,666862.557,953709.313,834923.913,696029.074,0.03381529589893116,0.048360733830586554,0.042337358537868026,0.035294272927020934,0.02982178004107361,0.03829469638827998,0.009662788536100031,0.013412611296469645,0.020158991504973578,0.024882085091810335,0.16561750791532515,0.008724303454573423,5,0.009270416618282512
AUT,1993,7905632,270395.242,342343.802,NA,294116.619,0.03420286221266055,0.04330378671812703,NA,0.03720342902376433,-0.0029918871200980135,0.0021913776167798993,7.506699939936468e-4,4.024419786907707e-4,-0.0037425571140916603,0.0017889356380891286,0.029899165293471697,-0.5070588775128777,-5,0.006771726788919886
AUT,1994,7936118,276564.814,350567.307,NA,301315.606,0.0348488787591112,0.044173651021822,NA,0.037967631781684705,0.019888396339899028,0.0187116323538703,0.02192266706654955,0.016872771348837468,-0.0020342707266505222,0.0018388610050328325,-0.003076911792063597,-0.3951190044782345,-4,0.005871407543741923
AUT,1995,7948278,280215.784,359920.386,372320.086,307823.32,0.035254904773084184,0.04528281295646679,0.04684286156070535,0.03872830316201824,0.024799074963145262,0.011583698728447889,0.013371735050302203,0.00923424394204897,0.01142733991284306,0.002349454786398919,-0.02345557839078838,-0.5357800831272499,-3,-9.958450763470174e-4
AUT,1996,7959016,287381.448,367895.383,380255.344,314248.771,0.03610766054497189,0.04622372702856735,0.047776677920989226,0.039483369677859675,0.02056568273939874,0.023900384210989944,0.02098947950889274,0.01611839226672851,-4.2379676949400036e-4,0.007781991944261435,-0.035352915820752395,-0.6699920387419009,-2,0.010931737636614267
AUT,1997,7968041,290285.378,375789.811,386592.247,318856.717,0.03643121038157309,0.04716213320187484,0.048517853635542285,0.04001695234750926,0.02009806963282923,0.00892078903774296,0.026335157855756908,0.018975927724345087,-0.006237088222927678,-0.010055138686602128,-0.09194793333912454,-0.2934869181298838,-1,-0.0037686787664435975
AUT,1998,7976789,298825.283,388915.699,399169.907,329161.28,0.03746185125368115,0.04875592158699447,0.05004142732119403,0.041264884905442535,0.033235350583883605,0.027897279947348697,0.023230864628554837,0.0263528230874015,0.010004485955328768,0.0015444568599471964,-3.547013132604431,-0.21614241452433935,0,0.007486860201087731
AUT,1999,7992323,306860.113,403546.413,408911.088,336460.559,0.038394358311094286,0.05049175477517613,0.051162983277827985,0.042097968137674115,0.03498339265400574,0.024587414544328556,0.025309875083651345,0.029891484046359107,0.009673517570354395,-0.005304069502030551,-0.14850725534364284,-0.04584886779107089,1,-0.0075668992805052165
AUT,2000,8011566,314079.385,416417.618,423371.053,348487.322,0.03920324503349283,0.05197705642067981,0.05284498099372832,0.04349802797605362,0.028992347362489568,0.020848995018763805,0.03087750969983727,0.028969714362745425,-0.0018851623373477011,-0.00812071934398162,-0.4990914630739464,0.3212418498554803,2,-0.0043480131122118
AUT,2001,8042293,317312.785,421901.787,426401.08,349636.264,0.03945551163082469,0.05246038499219066,0.05301983899368004,0.043474698571663584,0.009255914653006236,0.006414224504200039,0.0061081024849212184,0.015292912361159594,0.003147812168085018,-0.008878687856959555,-0.4289893386865185,-0.010130884188024549,3,-0.007459366542116133
